NumerKartyCzlonkowskiej,NumerSali,DataZajec,Godzina,Ocena,Komentarz
MCANHY3324,3,2024-04-30,08:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCANHY3324,4,2025-05-25,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCNARO3680,4,2022-11-18,10:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCGALI8305,8,2025-10-11,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCAUDR7213,2,2025-08-16,10:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCKAPA6704,5,2022-04-27,16:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMIPO6539,7,2024-04-22,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCFIPI8666,2,2025-04-04,18:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCLIKA5395,2,2022-04-25,10:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCGALI8305,6,2022-03-05,06:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCANKY4743,2,2025-04-04,18:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCJOKU9075,3,2024-04-30,08:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCJOKU9075,4,2022-01-23,18:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCJOKU9075,1,2025-04-01,12:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMOPO7575,4,2024-07-31,16:00,,brak komentarza
MCPIME7311,2,2023-07-26,16:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANHY3324,5,2022-05-29,20:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCELBI8129,8,2024-08-30,16:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMAKL4879,8,2025-10-11,20:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCDAFI7093,8,2024-08-30,16:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCKRZA3670,2,2023-07-26,16:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCGALI8305,3,2025-06-30,12:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMOPO7575,1,2025-04-01,12:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCANEK8614,1,2025-04-01,12:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCLEKU5386,4,2025-05-25,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKASI9276,7,2024-07-05,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCFIPI8666,4,2024-07-31,16:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMIPO6539,5,2022-05-29,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMAKL4879,7,2024-04-22,20:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCLIKA5395,8,2023-11-02,16:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANEK8614,4,2022-01-23,18:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKRZA3670,1,2025-04-01,12:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCLIKA5395,6,2025-07-23,12:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMADE7641,3,2024-04-30,08:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCAUDR7213,5,2023-05-22,20:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJADU9144,8,2023-11-02,16:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMOCE7714,8,2023-11-02,16:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCELBI8129,3,2025-06-30,12:00,,brak komentarza
MCMIPO6539,2,2022-04-25,10:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCDAFI7093,5,2022-04-27,16:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCIGWA4480,5,2023-05-22,20:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCFIPI8666,2,2023-07-26,16:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCELBI8129,3,2024-04-30,08:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCKOZO2811,7,2024-04-22,20:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCANKY4743,5,2023-05-22,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCIGWA4480,3,2025-06-30,12:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCPIME7311,6,2025-07-23,12:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCELBI8129,3,2025-09-19,18:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCBIUS2720,2,2022-10-25,16:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCKRZA3670,2,2022-04-25,10:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCDAFI7093,6,2022-03-05,06:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKLKU7759,7,2024-04-22,20:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCNARO3680,2,2025-04-04,18:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCIGWA4480,3,2025-09-19,18:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMAGO2945,2,2023-07-26,16:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCGALI8305,8,2024-08-30,16:00,,brak komentarza
MCANEK8614,8,2023-12-25,06:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCKAPA6704,4,2022-11-18,10:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCDAFI7093,4,2025-05-25,20:00,,brak komentarza
MCKLKU7759,8,2023-12-25,06:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMOCE7714,3,2025-06-30,12:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMAKL4879,2,2023-07-26,16:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCIGWA4480,8,2025-10-11,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMADE7641,1,2025-04-01,12:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCDAFI7093,5,2024-01-20,08:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCBIUS2720,8,2023-06-25,10:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCIGWA4480,1,2025-04-01,12:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCANHY3324,8,2023-11-02,16:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKASI9276,5,2023-05-22,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANHY3324,3,2025-09-19,18:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMOCE7714,3,2023-03-15,18:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCLEKU5386,2,2025-04-04,18:00,,brak komentarza
MCANEK8614,8,2023-06-25,10:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCFIPI8666,2,2024-06-28,20:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCPIMA4013,1,2025-04-01,12:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCLIKA5395,4,2022-11-18,10:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCJADU9144,2,2023-07-26,16:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCLEKU5386,1,2022-06-08,20:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANHY3324,7,2024-04-22,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCPIMA4013,3,2023-03-15,18:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAGO2945,6,2022-03-05,06:00,,brak komentarza
MCJOKU9075,8,2023-12-25,06:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMAGO2945,1,2022-06-08,20:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCLEKU5386,3,2024-04-30,08:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCKLKU7759,4,2022-01-23,18:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANEK8614,7,2024-07-05,06:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCKOZO2811,8,2025-10-11,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCIGWA4480,3,2024-04-30,08:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKAPA6704,2,2023-07-26,16:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKOZO2811,2,2024-06-28,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCGALI8305,4,2025-05-25,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMIPA1810,2,2022-04-25,10:00,,brak komentarza
MCKAPA6704,4,2022-01-23,18:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCPIMA4013,4,2025-05-25,20:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANHY3324,6,2024-12-11,06:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCMAKL4879,8,2023-11-02,16:00,,brak komentarza
MCANKY4743,8,2023-11-02,16:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMOPO7575,3,2023-03-15,18:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCAPJA8973,4,2023-05-24,16:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCKOKL4817,4,2024-09-21,06:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCLIBA7853,7,2025-01-20,08:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCLIRO9763,8,2025-08-14,18:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJADU9144,5,2025-01-24,20:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCANKY4743,7,2025-06-21,10:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKASZ7982,7,2025-01-20,08:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCPIME7311,2,2025-06-23,08:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCDOPY6914,1,2023-10-12,12:00,,brak komentarza
MCLIKA5395,8,2025-02-10,08:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCKARE9477,1,2023-12-20,20:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCTARA6658,3,2024-03-28,16:00,,brak komentarza
MCMAGO2945,6,2023-10-26,08:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCPIME7311,4,2024-09-21,06:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKARE9477,6,2024-08-31,10:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCFRRU6656,2,2025-04-12,18:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCLIRO9763,7,2025-01-20,08:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCGALI8305,1,2022-02-12,10:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCSASL2924,2,2025-04-12,18:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCLIBA7853,1,2023-12-03,08:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCANHY3324,8,2025-02-10,08:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCJAKO1723,2,2025-06-23,08:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKRZA3670,8,2025-08-14,18:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCJOKU9075,1,2023-05-30,08:00,,brak komentarza
MCAPJA8973,2,2025-09-30,06:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCLIKA5395,3,2023-07-05,08:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCKOWA9893,5,2023-10-21,10:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCGALI8305,1,2024-12-07,06:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCJEPI3184,6,2023-10-26,08:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCANGU8361,6,2025-09-12,10:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCANGU8361,7,2025-06-21,10:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCKAWO3184,2,2025-04-12,18:00,,brak komentarza
MCJOKU9075,4,2024-09-21,06:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMIPO7183,5,2023-10-21,10:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCELBI8129,6,2023-10-26,08:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCTARA6658,3,2023-07-05,08:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJOKU9075,4,2022-04-20,12:00,,brak komentarza
MCANGU8361,6,2023-10-26,08:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCBIUS2720,7,2025-01-20,08:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMIPO7183,8,2022-09-24,12:00,,brak komentarza
MCKOZO2811,5,2025-01-24,20:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCADKU6660,1,2024-12-07,06:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCJEPI3184,5,2024-11-20,10:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCLIBA7853,2,2025-04-12,18:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCKACI9241,8,2022-04-06,10:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCJOKU9075,5,2023-10-21,10:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMIPO7183,6,2024-08-31,10:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCMAPR1623,5,2025-01-24,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKAPA6704,5,2023-06-14,10:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCPIME7311,2,2025-09-30,06:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCJAKO1723,3,2024-03-28,16:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCJOKU9075,2,2025-04-12,18:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCLIKA5395,5,2023-10-21,10:00,,brak komentarza
MCFRHU6299,5,2024-11-20,10:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCANEK8614,6,2023-10-26,08:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCIGWA4480,8,2022-04-06,10:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCLIKA5395,2,2025-08-08,12:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCJADU9144,1,2024-12-07,06:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCTARA6658,8,2025-02-10,08:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAKL4879,6,2023-10-26,08:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCAPJA8973,1,2022-02-12,10:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCWOWA5840,4,2022-08-24,12:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCJEPI3184,8,2022-04-06,10:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMAKL4879,4,2022-04-20,12:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCMIPO7183,7,2025-06-21,10:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCTARA6658,7,2025-01-20,08:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCKAHO5479,1,2023-10-12,12:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCAPJA8973,2,2025-08-08,12:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMAKA7572,6,2023-10-26,08:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKAHO5479,2,2025-08-08,12:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCDAFI7093,8,2025-08-14,18:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCNILU8258,1,2023-05-30,08:00,,brak komentarza
MCPIME7311,5,2025-01-24,20:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCFRHU6299,8,2025-08-14,18:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCANEK8614,6,2025-09-12,10:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCKASI9276,4,2023-05-24,16:00,,brak komentarza
MCANUS3401,6,2024-08-31,10:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKASI9276,6,2023-10-26,08:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCLIRO9763,3,2024-03-28,16:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCLIKA5395,2,2025-04-12,18:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCANEK8614,2,2025-06-23,08:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCKAWO3184,4,2024-09-21,06:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCJOKU9075,8,2022-09-24,12:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCMAGO2945,1,2023-10-12,12:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMIPO7183,5,2023-06-14,10:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCNARO3680,2,2025-06-23,08:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKAWO3184,8,2025-02-10,08:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJUPE6039,6,2023-10-26,08:00,,brak komentarza
MCKOZO2811,4,2022-08-24,12:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCBIUS2720,7,2025-06-21,10:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCAPJA8973,5,2023-06-14,10:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCKASZ7982,3,2024-03-28,16:00,,brak komentarza
MCLEKU5386,8,2025-08-14,18:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCDOPY6914,4,2022-08-24,12:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCJUPE6039,4,2024-09-21,06:00,,brak komentarza
MCAPJA8973,5,2025-01-24,20:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCANHY3324,2,2025-08-08,12:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCFRHU6299,6,2024-08-31,10:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCLIRO9763,3,2023-07-05,08:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCDOPY6914,2,2025-09-30,06:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMAPR1623,8,2025-02-10,08:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCGALI8305,3,2023-07-05,08:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCJAKO1723,7,2025-01-20,08:00,,brak komentarza
MCKOKL4817,2,2025-09-30,06:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCANUS3401,7,2025-06-21,10:00,,brak komentarza
MCFRRU6656,1,2023-12-20,20:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKARE9477,7,2025-06-21,10:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCANHY3324,7,2025-06-21,10:00,,brak komentarza
MCGALI8305,7,2025-06-21,10:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJADU9144,2,2025-08-08,12:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCBIUS2720,4,2022-04-20,12:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCMOCE7714,1,2023-12-20,20:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCLEKU5386,5,2025-01-24,20:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMOGA8397,5,2023-10-21,10:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCNIWY6055,2,2025-04-12,18:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCTYDR4424,6,2024-08-31,10:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMOGA8397,4,2022-08-24,12:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCKOWA9893,2,2025-06-23,08:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCMOGA8397,1,2023-12-03,08:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCANKY4743,5,2023-06-14,10:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCAUDR7213,6,2024-08-31,10:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCBIUS2720,8,2022-09-24,12:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCJADU9144,1,2023-12-20,20:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMAPR1623,5,2024-11-20,10:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCANGU8361,4,2022-04-20,12:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCWOWA5840,5,2025-01-24,20:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCFRHU6299,2,2025-09-30,06:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMIPA1810,4,2023-05-24,16:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCJEPI3184,3,2024-03-28,16:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMADE7641,2,2025-04-12,18:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCJAKO1723,1,2023-12-20,20:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCJADU9144,8,2022-04-06,10:00,,brak komentarza
MCMOGA8397,1,2022-02-12,10:00,,brak komentarza
MCPIMA4013,2,2025-08-08,12:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCANUS3401,7,2025-01-20,08:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCAUDR7213,6,2025-09-12,10:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCDAFI7093,8,2022-04-06,10:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCNARO3680,3,2024-03-28,16:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKARE9477,8,2022-09-24,12:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJAKO1723,5,2023-06-14,10:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMOCE7714,2,2025-08-08,12:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCELBI8129,4,2023-05-24,16:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCLEKU5386,5,2024-11-20,10:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCANEK8614,8,2025-02-10,08:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCELBI8129,4,2024-09-21,06:00,,brak komentarza
MCAUDR7213,3,2023-07-05,08:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMAKL4879,8,2025-08-14,18:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKAHO5479,8,2025-02-10,08:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCJADU9144,5,2023-10-21,10:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCKASZ7982,1,2022-02-12,10:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCLEKU5386,1,2024-12-07,06:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCKAHO5479,1,2022-02-12,10:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCADKU6660,3,2024-03-28,16:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCSASL2924,8,2022-04-06,10:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCWOWA5840,6,2024-08-31,10:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCKOZO2811,1,2022-02-12,10:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCKARE9477,5,2023-10-21,10:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCMAKL4879,7,2025-01-20,08:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMADE7641,8,2022-04-06,10:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMAKA7572,4,2024-09-21,06:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCKRZA3670,2,2025-09-30,06:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCNILU8258,3,2024-03-28,16:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCLIKA5395,1,2023-05-30,08:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCELBI8129,2,2025-09-30,06:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKASZ7982,4,2022-04-20,12:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKAWO3184,4,2022-04-20,12:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMAPR1623,4,2022-04-20,12:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMAKA7572,5,2023-06-14,10:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCMOPO7575,1,2024-12-07,06:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCJUPE6039,5,2023-10-21,10:00,5,"Świetny instruktor, zajęcia bardzo motywujące!"
MCDAFI7093,5,2024-11-20,10:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCAUDR7213,3,2024-03-28,16:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCFRRU6656,4,2022-08-24,12:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCGALI8305,1,2023-10-12,12:00,1,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCTYDR4424,4,2023-05-24,16:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCTOSM8053,4,2022-04-20,12:00,,brak komentarza
MCJAKO1723,6,2023-10-26,08:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCLIKA5395,1,2023-10-12,12:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCMIPO7183,1,2024-12-07,06:00,,brak komentarza
MCJUPE6039,4,2022-08-24,12:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
