NumerKartyCzlonkowskiej,NumerSali,DataZajec,Godzina,Ocena,Komentarz
MCJELA6854,4,2022-03-23,20:00,,brak komentarza
MCRYPI3379,5,2022-05-09,20:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCINDA9777,5,2024-10-21,18:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCBAOS8378,4,2024-05-20,18:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMAGA1396,4,2024-11-20,12:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCARGO2827,8,2022-12-09,20:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCANDA1409,4,2022-10-12,08:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCBIBU9931,4,2024-02-03,18:00,4,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCELLI7149,5,2024-10-21,18:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCBAOS8378,7,2024-12-18,18:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMIFE5496,8,2025-09-21,10:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCWIFR7199,7,2024-10-23,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCWIFR7199,1,2022-09-29,20:00,,brak komentarza
MCARKA3268,4,2024-05-20,18:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCBIBU9931,8,2024-09-05,12:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCANDA1409,3,2022-10-29,06:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCCYKA4128,4,2024-02-03,18:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCBAOS8378,8,2022-12-09,20:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCIDBA3843,6,2025-04-27,12:00,,brak komentarza
MCINDA9777,8,2025-09-21,10:00,1,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCRYPI3379,8,2024-09-05,12:00,4,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCKOSU5349,6,2025-04-27,12:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCMAGA1396,5,2025-08-22,10:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCPIWI4136,4,2022-03-23,20:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCGUWO5365,4,2024-02-03,18:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCEMGR8096,4,2024-11-26,06:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCMALA5804,5,2022-05-09,20:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCJOPO9842,5,2025-04-14,16:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCELLI7149,6,2025-04-27,12:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCJOPO9842,8,2025-09-21,10:00,5,"Sala czysta, sprzęt w doskonałym stanie – polecam!"
MCBIBU9931,5,2025-08-22,10:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCARGO2827,1,2022-09-29,20:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCERST2004,7,2024-12-18,18:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCKOSU5349,5,2022-05-09,20:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCARGO2827,3,2024-01-31,16:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCNEFO7895,5,2022-05-09,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCGUWO5365,6,2024-03-03,08:00,,brak komentarza
MCJELA6854,5,2024-01-22,06:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCINDA9777,6,2024-03-03,08:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAGA1396,3,2024-06-15,06:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCWIWI7771,4,2024-11-26,06:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCGAKY5838,3,2024-06-15,06:00,,brak komentarza
MCBIBU9931,7,2024-12-18,18:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCINDA9777,5,2025-04-14,16:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCELLI7149,2,2023-03-07,20:00,1,"Sprzęt w złym stanie, kilka mat było podartych."
MCBIBU9931,4,2022-10-12,08:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCCYKA4128,5,2024-01-22,06:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCMIFE5496,7,2024-12-18,18:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMASE7757,4,2024-05-20,18:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCGUWO5365,3,2022-10-29,06:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCELLI7149,1,2025-10-25,10:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCGRMA7751,1,2025-10-25,10:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCJOPO9842,6,2025-04-27,12:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAGA1396,7,2024-12-18,18:00,1,"Sala za mała, było zbyt tłoczno i duszno."
MCANDA1409,6,2024-03-03,08:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCMAKI1955,8,2022-12-09,20:00,4,"Świetny instruktor, zajęcia bardzo motywujące!"
MCALDU8256,7,2023-05-08,20:00,2,"Sala za mała, było zbyt tłoczno i duszno."
MCWIWI7771,8,2022-01-02,18:00,,brak komentarza
MCGRMA7751,3,2024-06-15,06:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCRYPI3379,4,2024-02-03,18:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCRYPI3379,7,2023-05-08,20:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMALA5804,7,2024-12-18,18:00,,brak komentarza
MCMAKI1955,6,2024-03-03,08:00,,brak komentarza
MCMAKI1955,8,2024-02-24,20:00,3,"Sala za mała, było zbyt tłoczno i duszno."
MCIDBA3843,7,2024-12-18,18:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMAGA1396,6,2024-03-03,08:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCMASE7757,1,2022-09-29,20:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCANDA1409,4,2024-02-03,18:00,2,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCMASE7757,6,2025-04-27,12:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCBAOS8378,8,2024-09-05,12:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCCYKA4128,1,2025-10-25,10:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCMALA5804,1,2022-09-29,20:00,,brak komentarza
MCWIWI7771,1,2025-10-25,10:00,2,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCPIWI4136,7,2023-05-08,20:00,,brak komentarza
MCELLI7149,5,2025-04-14,16:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCWIWI7771,3,2024-04-20,10:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCBIBU9931,3,2024-04-20,10:00,,brak komentarza
MCMASE7757,3,2025-03-28,06:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCKAJA4327,3,2025-03-28,06:00,,brak komentarza
MCMIFE5496,5,2022-05-09,20:00,3,"Sprzęt w złym stanie, kilka mat było podartych."
MCJELA6854,7,2024-12-18,18:00,5,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCALDU8256,5,2024-10-21,18:00,5,Instruktor tłumaczy wszystko bardzo jasno i z uśmiechem.
MCERST2004,3,2024-04-20,10:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCBIBU9931,3,2022-10-29,06:00,3,"Instruktor mówił zbyt cicho, trudno było zrozumieć polecenia."
MCPIHE7442,6,2025-04-27,12:00,3,"Za dużo osób w grupie, brakowało indywidualnego podejścia."
MCWIWI7771,2,2023-12-01,18:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCMAGA1396,4,2022-10-12,08:00,2,"Sprzęt w złym stanie, kilka mat było podartych."
MCMAGA1396,8,2025-09-21,10:00,,brak komentarza
MCBIBU9931,5,2022-05-09,20:00,3,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCJELA6854,8,2022-12-09,20:00,4,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCWIFR7199,2,2023-12-01,18:00,1,Zajęcia rozpoczęły się z dużym opóźnieniem.
MCJOPO9842,8,2022-01-02,18:00,5,Super atmosfera i dobrze dobrane tempo ćwiczeń.
MCPIHE7442,8,2022-12-09,20:00,4,"Zajęcia idealne na początek dnia, dużo energii i pozytywnej muzyki."
MCIDBA3843,3,2022-10-29,06:00,2,Zajęcia rozpoczęły się z dużym opóźnieniem.
